date,ticker,name,end,AUM,log_return_t+5
2019-01-02,A091160,KODEX 반도체,16323,1684,0.01157279330895325
2019-01-03,A091160,KODEX 반도체,15671,5344,0.06831623396648154
2019-01-04,A091160,KODEX 반도체,15354,6330,0.09018141549009809
2019-01-07,A091160,KODEX 반도체,15634,2099,0.0521532290024001
2019-01-08,A091160,KODEX 반도체,15657,9352,0.06604629362994811
2019-01-09,A091160,KODEX 반도체,16513,9510,0.025352628428132875
2019-01-10,A091160,KODEX 반도체,16779,16455,0.017194432298788562
2019-01-11,A091160,KODEX 반도체,16803,7368,0.020673940672424836
2019-01-14,A091160,KODEX 반도체,16471,14628,0.0712851847546065
2019-01-15,A091160,KODEX 반도체,16726,1388,0.04751959198470294
2019-01-16,A091160,KODEX 반도체,16937,4889,0.03879597233532298
2019-01-17,A091160,KODEX 반도체,17070,35018,0.055490682739800345
2019-01-18,A091160,KODEX 반도체,17154,2528,0.08093019815092584
2019-01-21,A091160,KODEX 반도체,17688,9618,0.047691156398085355
2019-01-22,A091160,KODEX 반도체,17540,6347,0.07414869456938127
2019-01-23,A091160,KODEX 반도체,17607,1584,0.09718268013866294
2019-01-24,A091160,KODEX 반도체,18044,10762,0.05865363770982602
2019-01-25,A091160,KODEX 반도체,18600,9915,0.030184976338397666
2019-01-28,A091160,KODEX 반도체,18552,9655,0.06449809341223163
2019-01-29,A091160,KODEX 반도체,18890,5831,0.020643055029957617
2019-01-30,A091160,KODEX 반도체,19404,7376,-0.009423773981877489
2019-01-31,A091160,KODEX 반도체,19134,15000,0.020638485666859066
2019-02-01,A091160,KODEX 반도체,19170,9088,0.05010583951157588
2019-02-07,A091160,KODEX 반도체,19788,15870,0.038028526984379654
2019-02-08,A091160,KODEX 반도체,19284,11785,0.0318459244529319
2019-02-11,A091160,KODEX 반도체,19222,8620,0.04690066224221794
2019-02-12,A091160,KODEX 반도체,19533,12969,0.028962670220675453
2019-02-13,A091160,KODEX 반도체,20155,13085,0.016777348585249294
2019-02-14,A091160,KODEX 반도체,20555,7999,-0.004290387352529497
2019-02-15,A091160,KODEX 반도체,19908,13791,0.026812320541369793
2019-02-18,A091160,KODEX 반도체,20145,8854,0.03798849773222843
2019-02-19,A091160,KODEX 반도체,20107,8283,0.02805067942811434
2019-02-20,A091160,KODEX 반도체,20496,6025,0.0019496984144607458
2019-02-21,A091160,KODEX 반도체,20467,3902,-0.028898444764886108
2019-02-22,A091160,KODEX 반도체,20449,3239,-0.021901752974688497
2019-02-25,A091160,KODEX 반도체,20925,8423,-0.06017370796170826
2019-02-26,A091160,KODEX 반도체,20679,10754,-0.05558090452740206
2019-02-27,A091160,KODEX 반도체,20536,3340,-0.05767987244594681
2019-02-28,A091160,KODEX 반도체,19884,19751,-0.03604731877713399
2019-03-04,A091160,KODEX 반도체,20006,4859,-0.02223886252775184
2019-03-05,A091160,KODEX 반도체,19703,5756,0.01601081427573154
2019-03-06,A091160,KODEX 반도체,19561,2853,0.03155058043379357
2019-03-07,A091160,KODEX 반도체,19385,6545,0.05343441041478496
2019-03-08,A091160,KODEX 반도체,19180,3925,0.05596432847748053
2019-03-11,A091160,KODEX 반도체,19566,8780,0.03948408673450265
2019-03-12,A091160,KODEX 반도체,20021,3893,0.010632055638266526
2019-03-13,A091160,KODEX 반도체,20188,3716,0.017285836022396153
2019-03-14,A091160,KODEX 반도체,20449,27892,0.01999534071610178
2019-03-15,A091160,KODEX 반도체,20284,7763,0.037875437211560704
2019-03-18,A091160,KODEX 반도체,20354,1637,-0.0029521769128487132
2019-03-19,A091160,KODEX 반도체,20235,738,0.010031062131811833
2019-03-20,A091160,KODEX 반도체,20540,2686,-0.003951321026722784
2019-03-21,A091160,KODEX 반도체,20862,18408,-0.04064824870993791
2019-03-22,A091160,KODEX 반도체,21067,16056,-0.034921807024514716
2019-03-25,A091160,KODEX 반도체,20294,20774,0.027604046396888224
2019-03-26,A091160,KODEX 반도체,20439,10301,0.01736390507614301
2019-03-27,A091160,KODEX 반도체,20459,3370,0.04141031548682526
2019-03-28,A091160,KODEX 반도체,20031,3990,0.07072534888016946
2019-03-29,A091160,KODEX 반도체,20344,4382,0.06558557895497485
2019-04-01,A091160,KODEX 반도체,20862,15509,0.02148172796339424
2019-04-02,A091160,KODEX 반도체,20797,7911,0.031894441888786346
2019-04-03,A091160,KODEX 반도체,21324,11232,0.00975344316395641
2019-04-04,A091160,KODEX 반도체,21499,25917,0.00778394330055929
2019-04-05,A091160,KODEX 반도체,21723,7497,-0.002581241350223393
2019-04-08,A091160,KODEX 반도체,21315,16011,0.01983482356463498
2019-04-09,A091160,KODEX 반도체,21471,4520,0.006221581959326417
2019-04-10,A091160,KODEX 반도체,21533,7025,0.021137578785088356
2019-04-11,A091160,KODEX 반도체,21667,5079,-0.001986556750423557
2019-04-12,A091160,KODEX 반도체,21667,7014,0.009554066519108128
2019-04-15,A091160,KODEX 반도체,21742,10310,-0.002348445810309613
2019-04-16,A091160,KODEX 반도체,21605,2489,0.009443810829641098
2019-04-17,A091160,KODEX 반도체,21993,7430,-0.015164647496013876
2019-04-18,A091160,KODEX 반도체,21624,10319,0.015464343971009483
2019-04-19,A091160,KODEX 반도체,21875,11069,-0.024854911474408655
2019-04-22,A091160,KODEX 반도체,21691,6157,0.007395022561972138
2019-04-23,A091160,KODEX 반도체,21810,1584,0.0046658517472392535
2019-04-24,A091160,KODEX 반도체,21662,11634,0.02087739426207782
2019-04-25,A091160,KODEX 반도체,21961,27984,0.0064904346759593855
2019-04-26,A091160,KODEX 반도체,21338,5278,0.017191335431888805
2019-04-29,A091160,KODEX 반도체,21852,103428,-0.024271687097118327
2019-04-30,A091160,KODEX 반도체,21912,13052,-0.06466022746036483
2019-05-02,A091160,KODEX 반도체,22119,48473,-0.07245743118352957
2019-05-03,A091160,KODEX 반도체,22104,2805,-0.10242919868343482
2019-05-07,A091160,KODEX 반도체,21708,3479,-0.07905277953514188
2019-05-08,A091160,KODEX 반도체,21328,4341,-0.042184590975435636
2019-05-09,A091160,KODEX 반도체,20540,26676,-0.033867976038160795
2019-05-10,A091160,KODEX 반도체,20573,7680,-0.040572912628739584
2019-05-13,A091160,KODEX 반도체,19952,2597,-0.02517388315392415
2019-05-14,A091160,KODEX 반도체,20058,3115,-0.024988049586841678
2019-05-15,A091160,KODEX 반도체,20447,10993,-0.05313027751204912
2019-05-16,A091160,KODEX 반도체,19856,6529,-0.044909709328788905
2019-05-17,A091160,KODEX 반도체,19755,6476,-0.06003001250150351
2019-05-20,A091160,KODEX 반도체,19456,3493,-0.046338915179933625
2019-05-21,A091160,KODEX 반도체,19563,3123,-0.034848543987993974
2019-05-22,A091160,KODEX 반도체,19389,8017,-0.03154075366370619
2019-05-23,A091160,KODEX 반도체,18984,11554,-0.0017398185487894112
2019-05-24,A091160,KODEX 반도체,18604,4867,0.01974571191984299
2019-05-27,A091160,KODEX 반도체,18575,1550,0.02640470027911641
2019-05-28,A091160,KODEX 반도체,18893,7520,0.004805036042281539
2019-05-29,A091160,KODEX 반도체,18787,5058,0.018353977592503724
2019-05-30,A091160,KODEX 반도체,18951,13738,0.016329456895347875
2019-05-31,A091160,KODEX 반도체,18975,5330,0.0287782170189517
2019-06-03,A091160,KODEX 반도체,19072,4870,0.04555907894580634
2019-06-04,A091160,KODEX 반도체,18984,3839,0.028304021167182843
2019-06-05,A091160,KODEX 반도체,19135,9404,0.007652899364523009
2019-06-07,A091160,KODEX 반도체,19263,3386,-0.012064384479364448
2019-06-10,A091160,KODEX 반도체,19529,8023,-0.029041756353722484
2019-06-11,A091160,KODEX 반도체,19961,3737,-0.05319089577196353
2019-06-12,A091160,KODEX 반도체,19529,7688,-0.012261874394893024
2019-06-13,A091160,KODEX 반도체,19282,3381,0.010986004192372091
2019-06-14,A091160,KODEX 반도체,19032,3352,0.009309203779808642
2019-06-17,A091160,KODEX 반도체,18970,13724,0.015586904821051467
2019-06-18,A091160,KODEX 반도체,18927,9860,0.004533481670666904
2019-06-19,A091160,KODEX 반도체,19291,6687,-0.0037392928534846635
2019-06-20,A091160,KODEX 반도체,19495,2038,-0.000769724220171649
2019-06-21,A091160,KODEX 반도체,19210,1999,0.011953261258037444
2019-06-24,A091160,KODEX 반도체,19268,3393,0.01590971902643132
2019-06-25,A091160,KODEX 반도체,19013,5415,0.032648992449549157
2019-06-26,A091160,KODEX 반도체,19219,13982,0.014976524502856832
2019-06-27,A091160,KODEX 반도체,19480,11554,0.017908496518500253
2019-06-28,A091160,KODEX 반도체,19441,5577,0.006255789040672241
2019-07-01,A091160,KODEX 반도체,19577,6322,-0.05690905263895869
2019-07-02,A091160,KODEX 반도체,19644,3218,-0.0552019402519911
2019-07-03,A091160,KODEX 반도체,19509,4682,-0.023179073039690346
2019-07-04,A091160,KODEX 반도체,19832,13108,-0.010747340595672412
2019-07-05,A091160,KODEX 반도체,19563,8348,0.008753682035635585
